2021-07-10 20:06:49,479 Read Config Success
2021-07-10 20:06:52,058 Wallet Connected
2021-07-10 20:07:25,975 Read Config Success
2021-07-10 20:07:27,889 Wallet Connected
2021-07-10 20:17:30,724 Read Config Success
2021-07-10 20:17:32,410 Wallet Connected
2021-07-10 20:33:31,468 Read Config Success
2021-07-10 20:33:33,942 Wallet Connected
2021-07-10 20:33:38,527 Please Input Buy Amount!
2021-07-10 20:33:44,932 Start Bot
2021-07-10 20:33:45,324 Waiting liquidity to be added
2021-07-10 20:34:41,079 Liquidity Added : 0xb2c0ca753c907ef7765dcb717f2933273b8096aee5ca0e870f4da9d6c05c6f4f
2021-07-10 20:34:41,080 Start Buy
2021-07-10 20:34:41,456 Wait until transaction completed...
2021-07-10 20:34:41,457 Buy transaction: 0xea3b89b36f40230aeca4d6504b3faeff6b5e25487dd4914f498643fca0ecc63b
2021-07-10 20:35:21,856 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:22,381 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:22,896 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:23,405 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:23,919 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:24,419 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:24,932 Checking the condition, current price:0.00318807, buy price:0.00318795
2021-07-10 20:35:25,444 Checking the condition, current price:0.00318806, buy price:0.00318795
2021-07-10 20:35:25,960 Checking the condition, current price:0.00318806, buy price:0.00318795
2021-07-10 20:35:26,475 Checking the condition, current price:0.00318806, buy price:0.00318795
2021-07-10 20:35:26,991 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:27,491 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:28,002 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:28,503 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:29,016 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:29,518 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:30,028 Checking the condition, current price:0.00318808, buy price:0.00318795
2021-07-10 20:35:30,542 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:31,059 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:31,573 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:32,084 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:32,598 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:33,113 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:33,613 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:34,130 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:34,645 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:35,158 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:35,659 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:36,174 Checking the condition, current price:0.0031881, buy price:0.00318795
2021-07-10 20:35:36,689 Checking the condition, current price:0.00318811, buy price:0.00318795
2021-07-10 20:35:37,205 Checking the condition, current price:0.00318811, buy price:0.00318795
2021-07-10 20:35:37,724 Checking the condition, current price:0.00318811, buy price:0.00318795
2021-07-10 20:35:38,230 Checking the condition, current price:0.00318811, buy price:0.00318795
2021-07-10 20:35:38,747 Checking the condition, current price:0.00318811, buy price:0.00318795
2021-07-10 20:35:39,257 Checking the condition, current price:0.00318811, buy price:0.00318795
2021-07-10 20:35:39,761 Checking the condition, current price:0.00318812, buy price:0.00318795
2021-07-10 20:35:40,276 Checking the condition, current price:0.00318812, buy price:0.00318795
2021-07-10 20:35:40,787 Checking the condition, current price:0.00318812, buy price:0.00318795
2021-07-10 20:35:41,288 Checking the condition, current price:0.00318812, buy price:0.00318795
2021-07-10 20:35:41,802 Checking the condition, current price:0.00318814, buy price:0.00318795
2021-07-10 20:35:42,312 Checking the condition, current price:0.00318814, buy price:0.00318795
2021-07-10 20:35:42,824 Checking the condition, current price:0.00318814, buy price:0.00318795
2021-07-10 20:35:43,335 Checking the condition, current price:0.00318814, buy price:0.00318795
2021-07-10 20:35:43,846 Checking the condition, current price:0.00318814, buy price:0.00318795
2021-07-10 20:35:44,358 Checking the condition, current price:0.00318814, buy price:0.00318795
2021-07-10 20:35:44,870 Checking the condition, current price:0.0031882, buy price:0.00318795
2021-07-10 20:35:45,381 Checking the condition, current price:0.0031882, buy price:0.00318795
2021-07-10 20:35:45,895 Checking the condition, current price:0.0031882, buy price:0.00318795
2021-07-10 20:35:46,402 Checking the condition, current price:0.0031882, buy price:0.00318795
2021-07-10 20:35:46,917 Checking the condition, current price:0.0031882, buy price:0.00318795
