2021-08-01 12:20:26,496 Read Config Success
2021-08-01 12:20:27,391 Wallet Connected
2021-08-01 12:20:28,090 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-08-01 12:21:11,149 Start Bot
2021-08-01 12:21:11,157 Token Address : 0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1, Presale Address : 
2021-08-01 12:21:11,159 Buy Amount : 0.0, Sell Amount Percent : 100%, Sell Price : 0%, Buy Speed : 1.0, Sell Speed : 1.0
2021-08-01 12:21:11,378 Waiting Sell Moment....
2021-08-01 12:21:11,811 Checking the condition, current price:100.0%
2021-08-01 12:21:12,525 Checking the condition, current price:100.0%
2021-08-01 12:21:13,245 Checking the condition, current price:100.0%
2021-08-01 12:21:13,975 Checking the condition, current price:100.14824%
2021-08-01 12:21:14,721 Checking the condition, current price:100.14824%
2021-08-01 12:21:15,454 Checking the condition, current price:100.14824%
2021-08-01 12:21:16,197 Checking the condition, current price:100.14824%
2021-08-01 12:21:16,925 Checking the condition, current price:100.14824%
2021-08-01 12:21:17,655 Checking the condition, current price:100.14824%
2021-08-01 12:21:18,374 Checking the condition, current price:100.14824%
2021-08-01 12:21:19,097 Checking the condition, current price:100.14824%
2021-08-01 12:21:19,816 Checking the condition, current price:100.14824%
2021-08-01 12:21:20,540 Checking the condition, current price:100.14824%
2021-08-01 12:21:21,278 Checking the condition, current price:100.14824%
2021-08-01 12:21:21,999 Checking the condition, current price:100.14824%
2021-08-01 12:21:22,718 Checking the condition, current price:100.14824%
2021-08-01 12:21:23,452 Checking the condition, current price:100.14824%
2021-08-01 12:21:24,190 Checking the condition, current price:100.26998%
2021-08-01 12:21:24,904 Checking the condition, current price:100.26998%
2021-08-01 12:21:25,622 Checking the condition, current price:100.26998%
2021-08-01 12:21:26,342 Checking the condition, current price:100.26998%
2021-08-01 12:21:27,068 Checking the condition, current price:100.26998%
2021-08-01 12:21:27,780 Checking the condition, current price:100.26998%
2021-08-01 12:21:28,508 Checking the condition, current price:100.26998%
2021-08-01 12:21:29,237 Checking the condition, current price:100.26364%
2021-08-01 12:21:29,962 Checking the condition, current price:100.26364%
2021-08-01 12:21:30,696 Checking the condition, current price:100.26364%
2021-08-01 12:21:31,413 Checking the condition, current price:100.26364%
2021-08-01 12:21:32,142 Checking the condition, current price:100.26364%
2021-08-01 12:21:32,863 Checking the condition, current price:100.26364%
2021-08-01 12:21:33,577 Checking the condition, current price:100.26364%
2021-08-01 12:21:34,299 Checking the condition, current price:100.26364%
2021-08-01 12:21:35,015 Checking the condition, current price:100.26364%
2021-08-01 12:21:35,733 Checking the condition, current price:100.26364%
2021-08-01 12:21:36,447 Checking the condition, current price:100.26364%
2021-08-01 12:21:37,169 Checking the condition, current price:100.26364%
2021-08-01 12:21:37,894 Checking the condition, current price:100.26364%
2021-08-01 12:21:38,606 Checking the condition, current price:100.26364%
2021-08-01 12:21:39,334 Checking the condition, current price:100.26364%
2021-08-01 12:21:40,049 Checking the condition, current price:100.26364%
