2021-07-28 18:26:03,078 Read Config Success
2021-07-28 18:26:04,629 Wallet Connected
2021-07-28 18:26:06,564 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-28 18:26:20,673 Start Bot
2021-07-28 18:26:20,678 Token Address : 0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56, Presale Address : 
2021-07-28 18:26:20,680 Buy Amount : 1000000000000000.0, Sell Amount Percent : 100%, Sell Price : 0%
2021-07-28 18:26:21,247 Start Price:0.003187525149BNB
2021-07-28 18:26:21,536 Checking the condition, current price:100.0%
2021-07-28 18:26:22,897 Checking the condition, current price:100.0%
2021-07-28 18:26:24,141 Checking the condition, current price:100.00087%
2021-07-28 18:26:25,507 Checking the condition, current price:100.00062%
2021-07-28 18:26:26,886 Checking the condition, current price:100.00062%
2021-07-28 18:26:27,163 Buy transaction: 0x68f2923976a0f71d77eb23137f65fec53eeaab21ffc808b5265b3f38385cbbc3
2021-07-28 18:27:08,131 Buy transaction confirmed
2021-07-28 18:27:08,132 Waiting Sell Moment....
2021-07-28 18:27:08,529 Checking the condition, current price:100.0%
2021-07-28 18:27:09,375 Checking the condition, current price:100.0%
2021-07-28 18:27:10,228 Checking the condition, current price:100.0013%
2021-07-28 18:27:10,958 Checking the condition, current price:100.0013%
2021-07-28 18:27:11,754 Checking the condition, current price:100.0013%
2021-07-28 18:27:12,564 Checking the condition, current price:100.0013%
2021-07-28 18:27:13,358 Checking the condition, current price:100.00244%
2021-07-28 18:27:14,083 Checking the condition, current price:100.00244%
2021-07-28 18:27:14,815 Checking the condition, current price:100.00244%
2021-07-28 18:27:15,541 Checking the condition, current price:100.00244%
2021-07-28 18:27:16,267 Checking the condition, current price:100.00244%
2021-07-28 18:27:17,081 Checking the condition, current price:100.00244%
2021-07-28 18:27:17,918 Checking the condition, current price:100.00244%
2021-07-28 18:27:18,759 Checking the condition, current price:100.00244%
2021-07-28 18:27:19,614 Checking the condition, current price:100.00202%
2021-07-28 18:27:20,439 Checking the condition, current price:100.00243%
2021-07-28 18:27:21,264 Checking the condition, current price:100.00243%
2021-07-28 18:27:22,120 Checking the condition, current price:100.00243%
2021-07-28 18:27:22,981 Checking the condition, current price:100.00243%
2021-07-28 18:27:23,772 Checking the condition, current price:100.00243%
2021-07-28 18:27:24,654 Checking the condition, current price:100.00243%
2021-07-28 18:27:25,524 Checking the condition, current price:100.00243%
2021-07-28 18:27:26,394 Checking the condition, current price:100.00271%
2021-07-28 18:27:27,206 Checking the condition, current price:100.00271%
2021-07-28 18:27:28,083 Checking the condition, current price:100.00271%
2021-07-28 18:27:28,866 Checking the condition, current price:100.00134%
2021-07-28 18:27:29,711 Checking the condition, current price:100.00134%
2021-07-28 18:27:30,528 Checking the condition, current price:100.00134%
2021-07-28 18:27:31,313 Checking the condition, current price:100.00134%
2021-07-28 18:27:32,089 Checking the condition, current price:100.00134%
2021-07-28 18:27:32,850 Checking the condition, current price:100.00368%
2021-07-28 18:27:33,615 Checking the condition, current price:100.00368%
2021-07-28 18:27:34,352 Checking the condition, current price:100.00368%
2021-07-28 18:27:35,136 Checking the condition, current price:100.00435%
2021-07-28 18:27:35,904 Checking the condition, current price:100.00435%
2021-07-28 18:27:36,726 Checking the condition, current price:100.00435%
2021-07-28 18:27:37,613 Checking the condition, current price:100.00435%
2021-07-28 18:27:38,443 Checking the condition, current price:99.99899%
2021-07-28 18:27:39,259 Checking the condition, current price:99.99899%
2021-07-28 18:27:40,133 Checking the condition, current price:99.99899%
2021-07-28 18:27:40,897 Checking the condition, current price:99.99899%
2021-07-28 18:27:41,701 Checking the condition, current price:99.99899%
2021-07-28 18:27:42,441 Checking the condition, current price:99.99899%
2021-07-28 18:27:43,190 Checking the condition, current price:99.99899%
2021-07-28 18:27:44,022 Checking the condition, current price:99.99886%
2021-07-28 18:27:44,850 Checking the condition, current price:99.99886%
2021-07-28 18:27:45,654 Checking the condition, current price:100.00686%
2021-07-28 18:27:46,470 Checking the condition, current price:100.00686%
2021-07-28 18:27:47,351 Checking the condition, current price:100.00686%
2021-07-28 18:27:48,222 Checking the condition, current price:100.00686%
2021-07-28 18:27:49,102 Checking the condition, current price:100.00686%
2021-07-28 18:27:49,899 Checking the condition, current price:100.00625%
2021-07-28 18:27:50,643 Checking the condition, current price:99.99764%
2021-07-28 18:27:51,394 Checking the condition, current price:99.99764%
2021-07-28 18:27:52,235 Checking the condition, current price:99.99764%
2021-07-28 18:27:53,063 Checking the condition, current price:99.99764%
2021-07-28 18:27:53,913 Checking the condition, current price:99.9888%
2021-07-28 18:27:54,802 Checking the condition, current price:99.9888%
2021-07-28 18:27:55,562 Checking the condition, current price:99.9888%
2021-07-28 18:27:56,454 Checking the condition, current price:99.9888%
2021-07-28 18:27:57,272 Checking the condition, current price:99.9888%
2021-07-28 18:27:58,130 Checking the condition, current price:99.9888%
2021-07-28 18:27:58,990 Checking the condition, current price:99.9888%
2021-07-28 18:27:59,847 Checking the condition, current price:99.9888%
2021-07-28 18:28:00,689 Checking the condition, current price:99.9888%
2021-07-28 18:28:01,527 Checking the condition, current price:99.9888%
2021-07-28 18:28:02,330 Checking the condition, current price:99.9888%
2021-07-28 18:28:03,183 Checking the condition, current price:99.98867%
2021-07-28 18:28:03,920 Checking the condition, current price:99.98867%
2021-07-28 18:28:04,672 Checking the condition, current price:99.98867%
2021-07-28 18:28:05,514 Checking the condition, current price:99.98867%
2021-07-28 18:28:06,362 Checking the condition, current price:99.99041%
2021-07-28 18:28:07,174 Checking the condition, current price:99.99041%
2021-07-28 18:28:08,056 Checking the condition, current price:99.99041%
2021-07-28 18:28:08,899 Checking the condition, current price:99.99041%
2021-07-28 18:28:09,785 Checking the condition, current price:99.99041%
2021-07-28 18:28:10,604 Checking the condition, current price:99.99041%
2021-07-28 18:28:11,501 Checking the condition, current price:99.99041%
2021-07-28 18:28:12,365 Checking the condition, current price:99.99041%
2021-07-28 18:28:13,240 Checking the condition, current price:99.99117%
2021-07-28 18:28:14,098 Checking the condition, current price:99.99117%
2021-07-28 18:28:14,847 Checking the condition, current price:99.99117%
2021-07-28 18:28:16,327 Checking the condition, current price:99.99117%
2021-07-28 18:28:17,199 Checking the condition, current price:99.99117%
2021-07-28 18:28:18,056 Checking the condition, current price:99.99117%
2021-07-28 18:28:18,949 Checking the condition, current price:99.99124%
2021-07-28 18:28:19,692 Checking the condition, current price:99.99124%
2021-07-28 18:28:20,601 Checking the condition, current price:99.98974%
2021-07-28 18:28:21,471 Checking the condition, current price:99.98978%
2021-07-28 18:28:22,327 Checking the condition, current price:99.98978%
2021-07-28 18:28:23,759 Checking the condition, current price:99.98978%
2021-07-28 18:28:24,639 Checking the condition, current price:99.98978%
2021-07-28 18:28:25,484 Checking the condition, current price:99.98978%
2021-07-28 18:28:26,362 Checking the condition, current price:99.98978%
2021-07-28 18:28:27,190 Checking the condition, current price:99.98978%
2021-07-28 18:28:28,068 Checking the condition, current price:99.98978%
2021-07-28 18:28:28,940 Checking the condition, current price:99.98978%
2021-07-28 18:28:29,769 Checking the condition, current price:99.98972%
2021-07-28 18:28:30,615 Checking the condition, current price:99.98972%
2021-07-28 18:28:31,450 Checking the condition, current price:99.98972%
2021-07-28 18:28:32,282 Checking the condition, current price:99.98972%
2021-07-28 18:28:33,146 Checking the condition, current price:99.98972%
2021-07-28 18:28:34,034 Checking the condition, current price:99.98977%
2021-07-28 18:28:34,916 Checking the condition, current price:99.98977%
2021-07-28 18:28:35,771 Checking the condition, current price:99.98977%
2021-07-28 18:28:36,654 Checking the condition, current price:99.98977%
2021-07-28 18:28:37,547 Checking the condition, current price:99.98977%
2021-07-28 18:28:38,299 Checking the condition, current price:99.98977%
2021-07-28 18:28:39,030 Checking the condition, current price:99.99056%
2021-07-28 18:28:39,832 Checking the condition, current price:99.99056%
