2021-08-01 17:04:45,066 Read Config Success
2021-08-01 17:04:45,942 Wallet Connected
2021-08-01 17:04:46,627 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-08-01 17:05:16,848 Start Bot
2021-08-01 17:05:16,855 Token Address : 0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1, Presale Address : 
2021-08-01 17:05:16,856 Buy Amount : 0.0, Sell Amount Percent : 99%, Sell Price : 0%, Buy Speed : 1.0, Sell Speed : 1.0
2021-08-01 17:05:17,107 Waiting Sell Moment....
2021-08-01 17:05:17,611 Checking the condition, current price:100.0%
2021-08-01 17:05:18,346 Checking the condition, current price:100.0%
2021-08-01 17:05:19,200 Checking the condition, current price:100.0%
2021-08-01 17:05:20,206 Checking the condition, current price:100.0%
2021-08-01 17:05:20,786 Checking the condition, current price:100.0%
2021-08-01 17:05:21,530 Checking the condition, current price:100.0%
2021-08-01 17:05:22,307 Checking the condition, current price:100.0%
2021-08-01 17:05:23,173 Checking the condition, current price:100.0%
2021-08-01 17:05:24,091 Checking the condition, current price:100.11816%
2021-08-01 17:05:24,850 Checking the condition, current price:100.11816%
2021-08-01 17:05:25,733 Checking the condition, current price:100.11816%
2021-08-01 17:05:26,530 Checking the condition, current price:100.11816%
2021-08-01 17:05:27,267 Checking the condition, current price:100.11816%
2021-08-01 17:05:28,028 Checking the condition, current price:100.11816%
2021-08-01 17:05:28,822 Checking the condition, current price:100.11816%
2021-08-01 17:05:29,725 Checking the condition, current price:100.11816%
2021-08-01 17:05:31,254 Checking the condition, current price:100.11816%
2021-08-01 17:05:31,964 Checking the condition, current price:100.11816%
2021-08-01 17:05:32,674 Checking the condition, current price:100.11816%
2021-08-01 17:05:33,487 Checking the condition, current price:100.11816%
2021-08-01 17:05:34,352 Checking the condition, current price:100.11816%
2021-08-01 17:05:35,073 Checking the condition, current price:100.11816%
2021-08-01 17:05:35,888 Checking the condition, current price:100.11816%
2021-08-01 17:05:36,628 Checking the condition, current price:100.11816%
2021-08-01 17:05:37,556 Checking the condition, current price:100.11816%
2021-08-01 17:05:38,371 Checking the condition, current price:100.11816%
