2021-08-01 16:37:11,497 Read Config Success
2021-08-01 16:37:12,777 Wallet Connected
2021-08-01 16:37:13,730 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-08-01 16:37:44,861 Start Bot
2021-08-01 16:37:44,871 Token Address : 0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1, Presale Address : 
2021-08-01 16:37:44,875 Buy Amount : 0.0, Sell Amount Percent : 100%, Sell Price : 0%, Buy Speed : 1.0, Sell Speed : 1.0
2021-08-01 16:37:45,227 Waiting Sell Moment....
2021-08-01 16:37:45,805 Checking the condition, current price:100.0%
2021-08-01 16:37:46,668 Checking the condition, current price:100.0%
2021-08-01 16:37:47,476 Checking the condition, current price:100.0%
2021-08-01 16:37:48,326 Checking the condition, current price:100.0%
2021-08-01 16:37:49,225 Checking the condition, current price:100.0%
2021-08-01 16:37:49,991 Checking the condition, current price:100.0%
2021-08-01 16:37:50,874 Checking the condition, current price:100.0%
2021-08-01 16:37:52,332 Checking the condition, current price:100.0%
2021-08-01 16:37:53,042 Checking the condition, current price:100.0%
2021-08-01 16:37:53,847 Checking the condition, current price:100.0%
2021-08-01 16:37:54,599 Checking the condition, current price:100.0%
2021-08-01 16:37:55,480 Checking the condition, current price:100.0%
2021-08-01 16:37:56,373 Checking the condition, current price:100.0%
2021-08-01 16:37:57,132 Checking the condition, current price:100.0%
2021-08-01 16:37:58,042 Checking the condition, current price:100.0%
2021-08-01 16:37:58,852 Checking the condition, current price:100.0%
2021-08-01 16:37:59,696 Checking the condition, current price:100.0%
2021-08-01 16:38:00,492 Checking the condition, current price:100.0%
2021-08-01 16:38:01,338 Checking the condition, current price:100.0%
2021-08-01 16:38:02,215 Checking the condition, current price:100.0%
2021-08-01 16:38:02,974 Checking the condition, current price:100.0%
2021-08-01 16:38:03,870 Checking the condition, current price:100.01752%
2021-08-01 16:38:04,690 Checking the condition, current price:100.01752%
2021-08-01 16:38:05,448 Checking the condition, current price:100.01752%
2021-08-01 16:38:06,299 Checking the condition, current price:100.01752%
2021-08-01 16:38:07,129 Checking the condition, current price:100.01752%
2021-08-01 16:38:07,921 Checking the condition, current price:100.01752%
2021-08-01 16:38:08,762 Checking the condition, current price:100.01752%
2021-08-01 16:38:09,587 Checking the condition, current price:100.01752%
2021-08-01 16:38:10,388 Checking the condition, current price:100.01752%
2021-08-01 16:38:11,287 Checking the condition, current price:100.01752%
2021-08-01 16:38:12,184 Checking the condition, current price:100.04183%
