2021-07-29 14:28:36,112 Read Config Success
2021-07-29 14:28:37,313 Wallet Connected
2021-07-29 14:28:39,326 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-29 14:30:26,107 Please Input Buy Amount!
2021-07-29 14:30:31,328 Start Bot
2021-07-29 14:32:51,822 Checking the condition, current price:99.98779%
2021-07-29 14:32:52,709 Checking the condition, current price:99.98779%
2021-07-29 14:32:53,599 Checking the condition, current price:99.98847%
2021-07-29 14:32:56,431 Checking the condition, current price:99.98847%
2021-07-29 14:32:57,329 Checking the condition, current price:99.98774%
2021-07-29 14:32:58,224 Checking the condition, current price:99.98774%
2021-07-29 14:32:59,053 Checking the condition, current price:99.98774%
2021-07-29 14:32:59,933 Checking the condition, current price:99.98774%
2021-07-29 14:33:00,829 Checking the condition, current price:99.98128%
2021-07-29 14:33:01,718 Checking the condition, current price:99.98128%
2021-07-29 14:33:02,624 Checking the condition, current price:99.9815%
2021-07-29 14:33:03,537 Checking the condition, current price:99.9815%
2021-07-29 14:33:04,433 Checking the condition, current price:99.9815%
2021-07-29 14:33:05,347 Checking the condition, current price:99.98132%
2021-07-29 14:33:06,221 Checking the condition, current price:99.98132%
2021-07-29 14:33:07,106 Checking the condition, current price:99.98132%
2021-07-29 14:33:07,995 Checking the condition, current price:99.98172%
2021-07-29 14:33:08,889 Checking the condition, current price:99.98172%
2021-07-29 14:33:09,710 Checking the condition, current price:99.98172%
2021-07-29 14:33:10,580 Checking the condition, current price:99.98172%
2021-07-29 14:33:11,447 Checking the condition, current price:99.9814%
2021-07-29 14:33:12,327 Checking the condition, current price:99.9814%
2021-07-29 14:33:13,211 Checking the condition, current price:99.9814%
2021-07-29 14:33:14,088 Checking the condition, current price:99.98099%
2021-07-29 14:33:14,970 Checking the condition, current price:99.98099%
2021-07-29 14:33:15,859 Checking the condition, current price:99.98099%
2021-07-29 14:33:16,739 Checking the condition, current price:99.98324%
2021-07-29 14:33:17,629 Checking the condition, current price:99.98324%
2021-07-29 14:33:18,511 Checking the condition, current price:99.98324%
2021-07-29 14:33:19,402 Checking the condition, current price:99.98324%
2021-07-29 14:33:20,288 Checking the condition, current price:99.97716%
2021-07-29 14:33:21,204 Checking the condition, current price:99.97716%
2021-07-29 14:33:22,078 Checking the condition, current price:99.97716%
2021-07-29 14:33:24,199 Checking the condition, current price:99.97716%
2021-07-29 14:33:25,098 Checking the condition, current price:99.97716%
2021-07-29 14:33:25,994 Checking the condition, current price:99.97702%
2021-07-29 14:33:26,905 Checking the condition, current price:99.97702%
2021-07-29 14:33:27,790 Checking the condition, current price:99.97702%
2021-07-29 14:33:29,308 Checking the condition, current price:99.97702%
2021-07-29 14:33:30,182 Checking the condition, current price:99.97516%
2021-07-29 14:33:31,043 Checking the condition, current price:99.97516%
2021-07-29 14:33:31,937 Checking the condition, current price:99.97511%
2021-07-29 14:33:32,840 Checking the condition, current price:99.97511%
2021-07-29 14:33:38,248 Checking the condition, current price:99.97511%
2021-07-29 14:33:39,147 Checking the condition, current price:99.97614%
2021-07-29 14:33:40,066 Checking the condition, current price:99.97614%
2021-07-29 14:33:40,947 Checking the condition, current price:99.97606%
2021-07-29 14:33:41,814 Checking the condition, current price:99.97606%
2021-07-29 14:33:42,696 Checking the condition, current price:99.97606%
2021-07-29 14:33:43,588 Checking the condition, current price:99.97606%
2021-07-29 14:33:44,463 Checking the condition, current price:99.97487%
2021-07-29 14:33:45,345 Checking the condition, current price:99.97487%
2021-07-29 14:33:46,236 Checking the condition, current price:99.97487%
2021-07-29 14:33:47,108 Checking the condition, current price:99.97441%
2021-07-29 14:33:47,942 Checking the condition, current price:99.97441%
2021-07-29 14:33:48,835 Checking the condition, current price:99.97441%
2021-07-29 14:33:49,706 Checking the condition, current price:99.97441%
2021-07-29 14:33:50,592 Checking the condition, current price:99.97261%
2021-07-29 14:33:51,473 Checking the condition, current price:99.97261%
2021-07-29 14:33:52,360 Checking the condition, current price:99.97261%
2021-07-29 14:33:53,206 Checking the condition, current price:99.97188%
2021-07-29 14:33:54,102 Checking the condition, current price:99.97188%
2021-07-29 14:33:55,007 Checking the condition, current price:99.97188%
2021-07-29 14:33:55,879 Checking the condition, current price:99.97024%
2021-07-29 14:33:56,757 Checking the condition, current price:99.97024%
2021-07-29 14:33:57,643 Checking the condition, current price:99.97024%
2021-07-29 14:33:58,540 Checking the condition, current price:99.97024%
2021-07-29 14:33:59,429 Checking the condition, current price:99.96762%
2021-07-29 14:34:00,313 Checking the condition, current price:99.96762%
2021-07-29 14:34:01,204 Checking the condition, current price:99.96762%
2021-07-29 14:34:02,130 Checking the condition, current price:99.96755%
2021-07-29 14:34:02,994 Checking the condition, current price:99.96755%
2021-07-29 14:34:03,833 Checking the condition, current price:99.96755%
2021-07-29 14:34:04,732 Checking the condition, current price:99.96755%
2021-07-29 14:34:05,593 Checking the condition, current price:99.96784%
2021-07-29 14:34:06,492 Checking the condition, current price:99.96784%
2021-07-29 14:34:07,375 Checking the condition, current price:99.96784%
2021-07-29 14:34:08,261 Checking the condition, current price:99.96784%
2021-07-29 14:34:09,076 Checking the condition, current price:99.96828%
2021-07-29 14:34:09,958 Checking the condition, current price:99.96828%
2021-07-29 14:34:10,816 Checking the condition, current price:99.9684%
2021-07-29 14:34:11,699 Checking the condition, current price:99.9684%
2021-07-29 14:34:12,593 Checking the condition, current price:99.9684%
2021-07-29 14:34:13,474 Checking the condition, current price:99.9684%
2021-07-29 14:34:14,244 Checking the condition, current price:99.96701%
2021-07-29 14:34:15,138 Checking the condition, current price:99.96701%
2021-07-29 14:34:16,022 Checking the condition, current price:99.96701%
2021-07-29 14:34:16,885 Checking the condition, current price:99.96698%
2021-07-29 14:34:17,765 Checking the condition, current price:99.96698%
2021-07-29 14:34:18,670 Checking the condition, current price:99.96698%
2021-07-29 14:34:19,600 Checking the condition, current price:99.96698%
2021-07-29 14:34:20,517 Checking the condition, current price:99.96605%
2021-07-29 14:34:21,410 Checking the condition, current price:99.96605%
2021-07-29 14:34:22,309 Checking the condition, current price:99.96605%
2021-07-29 14:34:23,196 Checking the condition, current price:99.96624%
2021-07-29 14:34:24,125 Checking the condition, current price:99.96624%
2021-07-29 14:34:24,955 Checking the condition, current price:99.96624%
2021-07-29 14:34:25,853 Checking the condition, current price:99.96624%
2021-07-29 14:34:26,749 Checking the condition, current price:99.96624%
2021-07-29 14:34:27,644 Checking the condition, current price:99.96624%
2021-07-29 14:34:28,542 Checking the condition, current price:99.96624%
2021-07-29 14:34:29,436 Checking the condition, current price:99.96401%
2021-07-29 14:34:30,346 Checking the condition, current price:99.96401%
2021-07-29 14:34:31,243 Checking the condition, current price:99.96401%
2021-07-29 14:34:32,178 Checking the condition, current price:99.96401%
2021-07-29 14:34:33,092 Checking the condition, current price:99.9644%
2021-07-29 14:34:33,983 Checking the condition, current price:99.9644%
2021-07-29 14:34:34,876 Checking the condition, current price:99.96062%
2021-07-29 14:34:35,655 Checking the condition, current price:99.96062%
2021-07-29 14:34:36,551 Checking the condition, current price:99.96062%
2021-07-29 14:34:37,452 Checking the condition, current price:99.96062%
2021-07-29 14:34:38,333 Checking the condition, current price:99.95984%
2021-07-29 14:34:39,242 Checking the condition, current price:99.95984%
