2021-07-28 19:28:28,345 Read Config Success
2021-07-28 19:28:29,307 Wallet Connected
2021-07-28 19:28:30,828 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-28 19:28:37,788 Start Bot
2021-07-28 19:30:17,204 Checking the condition, current price:100.00705%
2021-07-28 19:30:17,962 Checking the condition, current price:100.00705%
2021-07-28 19:30:18,735 Checking the condition, current price:100.01105%
2021-07-28 19:30:19,567 Checking the condition, current price:100.01105%
2021-07-28 19:30:20,376 Checking the condition, current price:100.01105%
2021-07-28 19:30:21,203 Checking the condition, current price:100.01105%
2021-07-28 19:30:22,073 Checking the condition, current price:100.01175%
2021-07-28 19:30:22,910 Checking the condition, current price:100.01175%
2021-07-28 19:30:23,764 Checking the condition, current price:100.01175%
2021-07-28 19:30:24,571 Checking the condition, current price:100.01171%
2021-07-28 19:30:25,444 Checking the condition, current price:100.01171%
2021-07-28 19:30:26,251 Checking the condition, current price:100.01171%
2021-07-28 19:30:27,116 Checking the condition, current price:100.01171%
2021-07-28 19:30:27,972 Checking the condition, current price:100.01298%
2021-07-28 19:30:28,771 Checking the condition, current price:100.01298%
2021-07-28 19:30:29,651 Checking the condition, current price:100.01298%
2021-07-28 19:30:30,474 Checking the condition, current price:100.01292%
2021-07-28 19:30:31,305 Checking the condition, current price:100.01292%
2021-07-28 19:30:32,116 Checking the condition, current price:100.01292%
2021-07-28 19:30:32,934 Checking the condition, current price:100.01292%
2021-07-28 19:30:33,658 Checking the condition, current price:100.0109%
2021-07-28 19:30:34,419 Checking the condition, current price:100.0109%
2021-07-28 19:30:35,275 Checking the condition, current price:100.0109%
2021-07-28 19:30:36,081 Checking the condition, current price:100.0109%
2021-07-28 19:30:36,869 Checking the condition, current price:99.98911%
2021-07-28 19:30:37,695 Checking the condition, current price:99.98911%
2021-07-28 19:30:38,506 Checking the condition, current price:99.98911%
2021-07-28 19:30:39,265 Checking the condition, current price:99.98911%
2021-07-28 19:30:40,003 Checking the condition, current price:99.99447%
2021-07-28 19:30:40,838 Checking the condition, current price:99.99447%
2021-07-28 19:30:41,592 Checking the condition, current price:99.99447%
2021-07-28 19:30:42,333 Checking the condition, current price:99.99447%
2021-07-28 19:30:43,041 Checking the condition, current price:99.99226%
2021-07-28 19:30:43,801 Checking the condition, current price:99.99226%
2021-07-28 19:30:44,578 Checking the condition, current price:99.99226%
2021-07-28 19:30:45,370 Checking the condition, current price:99.99226%
2021-07-28 19:30:46,103 Checking the condition, current price:99.99183%
2021-07-28 19:30:46,915 Checking the condition, current price:99.99183%
2021-07-28 19:30:47,668 Checking the condition, current price:99.99183%
2021-07-28 19:30:48,518 Checking the condition, current price:99.99183%
2021-07-28 19:30:49,240 Checking the condition, current price:99.99259%
2021-07-28 19:30:50,071 Checking the condition, current price:99.99259%
2021-07-28 19:30:50,809 Checking the condition, current price:99.99259%
2021-07-28 19:30:51,541 Checking the condition, current price:99.99259%
2021-07-28 19:30:52,302 Checking the condition, current price:99.99341%
2021-07-28 19:30:53,077 Checking the condition, current price:99.99341%
2021-07-28 19:30:53,845 Checking the condition, current price:99.99341%
2021-07-28 19:30:54,584 Checking the condition, current price:99.99341%
2021-07-28 19:30:55,311 Checking the condition, current price:99.99341%
2021-07-28 19:30:56,023 Checking the condition, current price:99.99341%
2021-07-28 19:30:56,791 Checking the condition, current price:99.99341%
2021-07-28 19:30:57,660 Checking the condition, current price:99.99428%
2021-07-28 19:30:58,496 Checking the condition, current price:99.99428%
2021-07-28 19:30:59,273 Checking the condition, current price:99.99428%
2021-07-28 19:31:00,446 Checking the condition, current price:99.99428%
2021-07-28 19:31:01,197 Checking the condition, current price:99.99428%
2021-07-28 19:31:02,226 Checking the condition, current price:99.99428%
2021-07-28 19:31:02,902 Checking the condition, current price:99.99428%
2021-07-28 19:31:03,635 Checking the condition, current price:99.99428%
2021-07-28 19:31:04,359 Checking the condition, current price:99.99428%
2021-07-28 19:31:05,075 Checking the condition, current price:99.99414%
2021-07-28 19:31:05,789 Checking the condition, current price:99.99414%
2021-07-28 19:31:06,575 Checking the condition, current price:99.99414%
2021-07-28 19:31:07,380 Checking the condition, current price:99.99414%
2021-07-28 19:31:08,220 Checking the condition, current price:99.99414%
2021-07-28 19:31:08,979 Checking the condition, current price:99.99414%
2021-07-28 19:31:09,709 Checking the condition, current price:99.99414%
2021-07-28 19:31:10,531 Checking the condition, current price:99.99411%
2021-07-28 19:31:11,252 Checking the condition, current price:99.99411%
2021-07-28 19:31:11,997 Checking the condition, current price:99.99411%
2021-07-28 19:31:12,868 Checking the condition, current price:99.99411%
2021-07-28 19:31:13,747 Checking the condition, current price:99.99411%
2021-07-28 19:31:14,622 Checking the condition, current price:99.9941%
2021-07-28 19:31:15,465 Checking the condition, current price:99.9941%
2021-07-28 19:31:16,199 Checking the condition, current price:99.9941%
2021-07-28 19:31:16,932 Checking the condition, current price:99.99404%
2021-07-28 19:31:17,712 Checking the condition, current price:99.99404%
2021-07-28 19:31:18,544 Checking the condition, current price:99.99404%
2021-07-28 19:31:19,275 Checking the condition, current price:99.99361%
2021-07-28 19:31:19,990 Checking the condition, current price:99.99361%
2021-07-28 19:31:20,708 Checking the condition, current price:99.99361%
2021-07-28 19:31:21,458 Checking the condition, current price:99.99361%
2021-07-28 19:31:22,191 Checking the condition, current price:99.99361%
2021-07-28 19:31:22,904 Checking the condition, current price:99.99361%
2021-07-28 19:31:23,666 Checking the condition, current price:99.9931%
2021-07-28 19:31:24,389 Checking the condition, current price:99.9931%
2021-07-28 19:31:25,107 Checking the condition, current price:99.9931%
2021-07-28 19:31:25,826 Checking the condition, current price:99.99246%
2021-07-28 19:31:26,545 Checking the condition, current price:99.99591%
2021-07-28 19:31:27,255 Checking the condition, current price:99.99591%
2021-07-28 19:31:27,980 Checking the condition, current price:99.99591%
2021-07-28 19:31:28,695 Checking the condition, current price:99.99591%
2021-07-28 19:31:29,442 Checking the condition, current price:99.99591%
2021-07-28 19:31:30,156 Checking the condition, current price:99.99591%
2021-07-28 19:31:30,911 Checking the condition, current price:99.99591%
2021-07-28 19:31:31,748 Checking the condition, current price:99.99591%
2021-07-28 19:31:32,466 Checking the condition, current price:99.99591%
2021-07-28 19:31:33,177 Checking the condition, current price:99.99591%
2021-07-28 19:31:33,894 Checking the condition, current price:99.99829%
2021-07-28 19:31:34,619 Checking the condition, current price:99.99829%
2021-07-28 19:31:35,342 Checking the condition, current price:99.99829%
2021-07-28 19:31:36,053 Checking the condition, current price:99.99829%
2021-07-28 19:31:36,774 Checking the condition, current price:99.99829%
2021-07-28 19:31:37,492 Checking the condition, current price:99.99808%
