2021-07-08 22:25:31,703 Read Config Success
2021-07-08 22:25:34,760 Wallet Connected
2021-07-08 22:25:49,134 Start Bot
2021-07-08 22:25:49,497 Waiting liquidity to be added
2021-07-08 22:28:42,054 Read Config Success
2021-07-08 22:28:44,265 Wallet Connected
2021-07-08 22:28:54,125 Start Bot
2021-07-08 22:28:54,485 Waiting liquidity to be added
2021-07-08 22:29:25,622 Read Config Success
2021-07-08 22:29:27,556 Wallet Connected
2021-07-08 22:29:37,223 Start Bot
2021-07-08 22:29:37,596 Waiting liquidity to be added
2021-07-08 22:31:16,663 Liquidity Added : 0x749a1ad7186fec74a6b3442a5b87d3a24ff666f28c51c1c02d853ad0870355b7
2021-07-08 22:31:16,663 Start Buy
2021-07-08 22:31:20,761 Wait until transaction completed...
2021-07-08 22:31:20,764 Buy transaction: 0xfac154cbd471b48597b8c78351f7ffa62731f694db45b31528b2ed6151e1f9dc
2021-07-08 22:32:01,192 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:01,696 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:02,196 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:02,703 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:03,208 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:03,722 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:04,243 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:04,738 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:05,245 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:05,751 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:06,263 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:06,781 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:07,295 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:07,807 Checking the condition, current price:0.00316353, buy price:0.00316344
2021-07-08 22:32:08,307 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:08,809 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:09,321 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:09,832 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:10,334 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:10,846 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:11,347 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:11,862 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:12,369 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:12,879 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:13,393 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:13,900 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:14,401 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:14,901 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:15,414 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:15,926 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:16,435 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:16,940 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:17,442 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:17,956 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:18,471 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:18,970 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:19,473 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:19,985 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:20,499 Checking the condition, current price:0.00316355, buy price:0.00316344
2021-07-08 22:32:21,014 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:32:21,529 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:32:22,050 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:32:22,558 Checking the condition, current price:0.00316357, buy price:0.00316344
2021-07-08 22:32:23,060 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:23,570 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:24,084 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:24,596 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:25,108 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:25,608 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:26,122 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:26,638 Checking the condition, current price:0.00316358, buy price:0.00316344
2021-07-08 22:32:27,139 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:27,640 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:28,144 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:28,645 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:29,160 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:29,674 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:30,189 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:30,703 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:31,218 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:31,730 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:32,231 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:32,742 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:33,256 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:33,772 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:34,286 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:34,786 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:35,301 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:35,815 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:36,315 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:36,832 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:37,332 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:37,834 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:38,334 Checking the condition, current price:0.00316356, buy price:0.00316344
2021-07-08 22:32:38,847 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:39,351 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:39,871 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:40,381 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:40,893 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:41,409 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:41,921 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:42,424 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:42,934 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:43,449 Checking the condition, current price:0.00316354, buy price:0.00316344
2021-07-08 22:32:43,963 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:44,476 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:44,992 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:45,507 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:46,009 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:46,514 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:47,030 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:47,545 Checking the condition, current price:0.00316352, buy price:0.00316344
2021-07-08 22:32:48,061 Checking the condition, current price:0.00316345, buy price:0.00316344
2021-07-08 22:32:48,573 Checking the condition, current price:0.00316345, buy price:0.00316344
2021-07-08 22:32:49,074 Checking the condition, current price:0.00316345, buy price:0.00316344
2021-07-08 22:32:49,586 Checking the condition, current price:0.00316345, buy price:0.00316344
2021-07-08 22:32:50,105 Checking the condition, current price:0.00316345, buy price:0.00316344
2021-07-08 22:32:50,605 Checking the condition, current price:0.00316346, buy price:0.00316344
2021-07-08 22:32:51,126 Checking the condition, current price:0.00316346, buy price:0.00316344
2021-07-08 22:32:51,627 Checking the condition, current price:0.00316346, buy price:0.00316344
2021-07-08 22:32:52,142 Checking the condition, current price:0.00316346, buy price:0.00316344
2021-07-08 22:32:52,653 Checking the condition, current price:0.00316346, buy price:0.00316344
2021-07-08 22:32:53,169 Checking the condition, current price:0.00316347, buy price:0.00316344
2021-07-08 22:32:53,684 Checking the condition, current price:0.00316347, buy price:0.00316344
2021-07-08 22:32:54,198 Checking the condition, current price:0.00316347, buy price:0.00316344
2021-07-08 22:32:54,702 Checking the condition, current price:0.00316347, buy price:0.00316344
2021-07-08 22:32:55,213 Checking the condition, current price:0.00316347, buy price:0.00316344
2021-07-08 22:32:55,707 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:56,211 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:56,725 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:57,236 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:57,751 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:58,252 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:58,765 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:59,278 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:32:59,783 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:33:00,286 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:33:00,809 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:33:01,313 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:33:01,826 Checking the condition, current price:0.00316349, buy price:0.00316344
2021-07-08 22:33:02,327 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:02,842 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:03,349 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:03,851 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:04,364 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:04,865 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:05,378 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:05,887 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:06,392 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:06,906 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:07,421 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:07,924 Checking the condition, current price:0.00316365, buy price:0.00316344
2021-07-08 22:33:08,438 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:08,947 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:09,446 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:09,963 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:10,476 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:10,988 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:11,504 Checking the condition, current price:0.00316361, buy price:0.00316344
2021-07-08 22:33:12,004 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:12,515 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:13,033 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:13,550 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:14,056 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:14,572 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:15,087 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:15,587 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:16,102 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:16,603 Checking the condition, current price:0.00316362, buy price:0.00316344
2021-07-08 22:33:17,111 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:17,622 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:18,137 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:18,650 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:19,160 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:19,662 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:20,176 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:20,691 Checking the condition, current price:0.0031636, buy price:0.00316344
2021-07-08 22:33:21,190 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:21,693 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:22,194 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:22,708 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:23,219 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:23,731 Checking the condition, current price:0.00316359, buy price:0.00316344
2021-07-08 22:33:24,237 Checking the condition, current price:0.00316359, buy price:0.00316344
