2021-08-01 18:48:15,542 Read Config Success
2021-08-01 18:48:16,488 Wallet Connected
2021-08-01 18:48:17,139 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-08-01 18:48:30,292 Start Bot
2021-08-01 18:48:30,297 Token Address : 0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1, Presale Address : 
2021-08-01 18:48:30,298 Buy Amount : 0.0, Sell Amount Percent : 100%, Sell Price : 0%, Buy Speed : 1.0, Sell Speed : 1.0
2021-08-01 18:48:30,519 Waiting Sell Moment....
2021-08-01 18:48:30,941 Checking the condition, current price:100.0%
2021-08-01 18:48:31,653 Checking the condition, current price:100.0%
2021-08-01 18:48:32,366 Checking the condition, current price:100.0%
2021-08-01 18:48:33,081 Checking the condition, current price:100.0%
2021-08-01 18:48:33,800 Checking the condition, current price:100.0%
2021-08-01 18:48:34,540 Checking the condition, current price:100.0%
2021-08-01 18:48:35,261 Checking the condition, current price:100.0%
2021-08-01 18:48:35,978 Checking the condition, current price:100.0%
2021-08-01 18:48:36,700 Checking the condition, current price:100.0%
2021-08-01 18:48:37,428 Checking the condition, current price:100.0%
2021-08-01 18:48:38,142 Checking the condition, current price:100.0%
2021-08-01 18:48:38,859 Checking the condition, current price:100.30169%
2021-08-01 18:48:39,579 Checking the condition, current price:100.30169%
2021-08-01 18:48:40,298 Checking the condition, current price:100.30169%
2021-08-01 18:48:41,016 Checking the condition, current price:100.30169%
2021-08-01 18:48:41,738 Checking the condition, current price:100.30169%
2021-08-01 18:48:42,468 Checking the condition, current price:100.30169%
2021-08-01 18:48:43,189 Checking the condition, current price:100.30169%
2021-08-01 18:48:43,903 Checking the condition, current price:100.30169%
2021-08-01 18:48:44,617 Checking the condition, current price:100.30169%
2021-08-01 18:48:45,366 Checking the condition, current price:100.30169%
2021-08-01 18:48:46,086 Checking the condition, current price:100.30169%
2021-08-01 18:48:46,797 Checking the condition, current price:100.30169%
2021-08-01 18:48:47,524 Checking the condition, current price:100.30169%
2021-08-01 18:48:48,298 Checking the condition, current price:100.30169%
2021-08-01 18:48:49,014 Checking the condition, current price:100.30169%
2021-08-01 18:48:49,725 Checking the condition, current price:100.30169%
2021-08-01 18:48:50,438 Checking the condition, current price:100.30169%
2021-08-01 18:48:51,156 Checking the condition, current price:100.30169%
2021-08-01 18:48:51,890 Checking the condition, current price:100.30169%
2021-08-01 18:48:52,616 Checking the condition, current price:100.30169%
2021-08-01 18:48:53,340 Checking the condition, current price:100.30169%
2021-08-01 18:48:54,064 Checking the condition, current price:100.30169%
2021-08-01 18:48:54,819 Checking the condition, current price:100.30169%
2021-08-01 18:48:55,537 Checking the condition, current price:100.30169%
2021-08-01 18:48:56,250 Checking the condition, current price:100.30169%
2021-08-01 18:48:56,973 Checking the condition, current price:100.30169%
2021-08-01 18:48:57,693 Checking the condition, current price:100.30169%
2021-08-01 18:48:58,413 Checking the condition, current price:100.30169%
2021-08-01 18:48:59,120 Checking the condition, current price:100.30169%
2021-08-01 18:48:59,852 Checking the condition, current price:100.30169%
2021-08-01 18:49:00,567 Checking the condition, current price:100.30169%
2021-08-01 18:49:01,317 Checking the condition, current price:100.30169%
2021-08-01 18:49:02,026 Checking the condition, current price:100.30169%
2021-08-01 18:49:02,740 Checking the condition, current price:100.30169%
2021-08-01 18:49:03,458 Checking the condition, current price:100.30169%
2021-08-01 18:49:04,193 Checking the condition, current price:100.30169%
2021-08-01 18:49:04,913 Checking the condition, current price:100.30169%
2021-08-01 18:49:05,636 Checking the condition, current price:100.30169%
2021-08-01 18:49:06,366 Checking the condition, current price:100.25288%
2021-08-01 18:49:07,094 Checking the condition, current price:100.25288%
